MapMat-1.1,2022/07/05,,,,,,,,,,,,,,
         ,Cr2O3,SiO2,AFS,Seam,Solids,Fe,Unknown,OI,T-Offset,Intens,Light-Int,Dark-Int,Stability,Gain,Offset
Cr2O3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SiO2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AFS,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
OI       ,0,0,0,0,0,0,0,0.828,0,0,0,0,0,1,0
Fe   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Solids   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Seam,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Unknown  ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
T-Offset ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Intensity,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Light-Int,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Dark-Int ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Stability,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0
