,Cr2O3,SiO2,Seam
2022-03-18 11:30:50,42.1,2.0,7.0
2022-03-18 11:31:20,42.1,2.0,7.0
2022-03-18 11:59:07,38.2,6.4,7.0
2022-03-18 12:00:07,38.2,6.4,7.0
2022-03-18 12:33:03,42.0,2.1,7.0
2022-03-18 12:59:05,42.0,2.0,7.0
2022-03-18 13:00:05,42.0,2.0,7.0
2022-03-18 13:30:20,42.5,1.9,7.0
2022-03-18 13:59:05,42.4,1.7,7.0
2022-03-18 14:00:05,42.4,1.7,7.0
2022-03-18 14:00:19,42.4,1.7,7.0
2022-03-18 14:42:28,31.2,10.2,7.0
2022-03-18 14:59:04,42.6,1.6,7.0
2022-03-18 15:00:03,42.6,1.6,7.0
2022-03-18 15:30:32,42.6,1.5,7.0
2022-03-18 15:59:02,42.7,1.6,7.0
2022-03-18 16:00:01,42.7,1.6,7.0
2022-03-18 16:00:16,42.7,1.6,7.0
2022-03-18 16:29:30,43.1,1.1,7.0
2022-06-02 19:06:07,43.0,1.3,7.0
2022-06-02 21:01:03,43.1,1.3,7.0
2022-06-02 23:00:34,43.0,1.4,7.0
2022-06-03 01:00:20,43.5,1.2,7.0
2022-06-03 03:03:03,41.8,1.8,7.0
2022-06-03 05:05:34,42.1,1.8,7.0
2022-06-03 07:05:19,42.2,1.7,7.0
2022-06-21 20:05:40,40.3,7.2,1.0
2022-06-21 22:03:40,45.6,1.9,1.0
2022-06-21 23:59:26,45.7,1.2,1.0
2022-06-24 00:01:23,46.1,1.3,1.0
2022-06-24 02:01:25,45.6,1.4,1.0
2022-07-06 01:02:20,43.1,1.4,6.0
2022-07-06 03:00:57,43.2,1.5,6.0
2022-07-06 19:01:51,45.5,1.1,5.0
2022-07-06 22:10:12,46.0,1.0,5.0
2022-07-07 01:03:06,45.0,1.2,5.0
2022-07-07 03:01:28,45.1,1.1,5.0
2022-07-07 08:07:42,44.7,1.2,5.0
2022-07-07 19:02:38,45.0,1.3,5.0
2022-07-08 00:01:55,45.3,1.2,5.0
2022-07-08 01:01:06,45.6,0.9,5.0
2022-07-08 03:02:10,46.0,0.9,5.0
2022-07-12 15:04:11,44.6,2.2,4.0
2022-07-13 02:14:35,44.9,1.8,4.0
2022-07-13 11:15:25,45.9,1.4,4.0
2022-07-13 13:14:23,45.9,1.4,4.0
2022-07-13 15:07:13,45.7,1.4,4.0
2022-07-13 22:18:13,45.8,1.4,4.0
2022-07-14 00:17:36,45.7,1.4,4.0
2022-07-14 21:04:40,45.8,1.3,4.0
2022-07-14 23:03:54,45.9,1.7,4.0
2022-07-15 05:06:43,45.6,1.5,4.0
2022-07-15 21:02:58,45.43,1.14,4.0
2022-07-16 01:04:37,45.42,1.35,4.0
2022-07-16 03:01:17,44.85,1.45,4.0
2022-07-16 05:06:37,44.85,1.45,4.0
2022-07-16 15:01:46,44.99,1.11,4.0
2022-07-17 00:05:33,45.36,1.02,4.0
2022-07-17 05:04:13,44.76,1.53,4.0
2022-07-17 11:03:57,45.23,1.31,4.0
2022-07-17 14:02:41,45.39,1.04,4.0
2022-07-17 20:02:29,45.41,1.07,4.0
2022-07-17 22:03:11,45.04,1.19,4.0
2022-07-18 05:02:53,45.31,1.12,4.0
2022-07-20 16:03:41,45.98,1.04,4.0
2022-07-20 20:05:04,46.25,0.97,4.0
2022-07-21 01:02:38,45.9,1.22,4.0
2022-07-23 08:06:45,46.26,0.87,4.0
2022-07-23 14:06:39,45.91,1.31,1.0
2022-07-23 16:03:13,46.2,1.51,1.0
2022-07-23 20:03:27,45.91,1.28,1.0
2022-07-23 22:03:58,45.39,1.68,1.0
2022-07-24 02:03:23,45.86,1.47,1.0
2022-07-24 04:03:57,45.56,1.37,1.0
2022-07-24 07:04:07,45.7,1.53,1.0
2022-07-24 23:06:28,46.13,1.13,1.0
2022-07-25 01:04:08,46.11,1.17,1.0
2022-07-25 03:03:44,45.89,1.26,1.0
2022-07-25 13:06:23,46.05,1.1,1.0
2022-07-25 15:01:30,45.81,1.34,1.0
2022-07-25 17:02:05,45.81,1.34,1.0
2022-07-25 20:02:38,42.68,3.31,1.0
2022-07-26 02:07:09,45.99,1.3,1.0
2022-07-26 04:04:53,46.0,1.27,1.0
2022-07-26 07:03:53,45.99,1.21,1.0
2022-08-02 04:06:38,45.9,1.3,1.0
2022-08-04 20:33:13,46.11,1.02,1.0
2022-08-08 19:07:24,46.15,1.1,1.0
2022-09-07 03:04:35,45.36,1.55,2.0
2022-09-07 03:05:59,45.36,1.55,2.0
2022-09-07 17:40:27,44.82,1.67,2.0
2022-09-08 03:49:26,43.68,3.33,2.0
2022-09-08 22:19:25,45.65,1.62,2.0
2022-09-09 11:49:25,44.2,2.17,2.0
2022-09-12 01:12:25,43.74,3.63,3.0
2022-09-12 23:25:26,44.65,2.3,3.0
2022-09-13 19:12:44,43.62,2.16,3.0
2022-09-14 09:19:25,42.44,4.72,3.0
2022-09-17 23:14:31,43.67,3.03,3.0
2022-09-22 07:41:45,44.1,3.06,2.0
