,Cr2O3,SiO2,Seam
2022-06-21 20:05:40,40.3,7.2,1.0
2022-06-21 22:03:40,45.6,1.9,1.0
2022-06-21 23:59:26,45.7,1.2,1.0
2022-06-24 00:01:23,46.1,1.3,1.0
2022-06-24 02:01:25,45.6,1.4,1.0
2022-07-06 01:02:20,43.1,1.4,6.0
2022-07-06 03:00:57,43.2,1.5,6.0
2022-07-06 19:01:51,45.5,1.1,5.0
2022-07-06 22:10:12,46.0,1.0,5.0
2022-07-07 01:03:06,45.0,1.2,5.0
2022-07-07 03:01:28,45.1,1.1,5.0
2022-07-07 08:07:42,44.7,1.2,5.0
2022-07-08 00:01:55,45.3,1.2,5.0
2022-07-08 01:01:06,45.6,0.9,5.0
2022-07-08 03:02:10,46.0,0.9,5.0
2022-07-23 14:06:39,45.91,1.31,1.0
2022-07-23 16:03:13,46.2,1.51,1.0
2022-07-23 20:03:27,45.91,1.28,1.0
2022-07-23 22:03:58,45.39,1.68,1.0
2022-07-24 02:03:23,45.86,1.47,1.0
2022-07-24 07:04:07,45.7,1.53,1.0
2022-07-24 23:06:28,46.13,1.13,1.0
2022-07-25 01:04:08,46.11,1.17,1.0
2022-07-25 13:06:23,46.05,1.1,1.0
2022-07-25 15:01:30,45.81,1.34,1.0
2022-07-25 17:02:05,45.81,1.34,1.0
2022-07-26 02:07:09,45.99,1.3,1.0
2022-07-26 04:04:53,46.0,1.27,1.0
2022-07-26 07:03:53,45.99,1.21,1.0
2022-08-02 04:06:38,45.9,1.3,1.0
2022-08-04 20:33:13,46.11,1.02,1.0
2022-08-08 19:07:24,46.15,1.1,1.0
